IUCNLevel,NewCode,Resistance forest bird,
1. Forest,100,,
1.1. Forest – Boreal,101,0,
1.2. Forest - Subarctic,102,0,
1.3. Forest – Subantarctic,103,0,
1.4. Forest – Temperate,104,0,
1.5. Forest – Subtropical/tropical dry,105,0,
1.6. Forest – Subtropical/tropical moist lowland,106,0,
1.7. Forest – Subtropical/tropical mangrove vegetation above high tide level,107,0,
1.8. Forest – Subtropical/tropical swamp,108,0,
1.9. Forest – Subtropical/tropical moist montane,109,0,
2. Savanna,200,,
2.1. Savanna - Dry,201,0.2,
2.2. Savanna - Moist,202,0.2,
3. Shrubland,300,0,
3.1. Shrubland – Subarctic,301,0,
3.2. Shrubland – Subantarctic,302,0,
3.3. Shrubland – Boreal,303,0,
3.4. Shrubland –Temperate,304,0,
3.5. Shrubland – Subtropical/tropical dry,305,0,
3.6. Shrubland – Subtropical/tropical moist,306,0,
3.7. Shrubland – Subtropical/tropical high altitude,307,0,
3.8. Shrubland – Mediterranean-type shrubby vegetation,308,0,
4. Grassland,400,0.2,
4.1. Grassland – Tundra,401,0.2,
4.2. Grassland – Subarctic,402,0.2,
4.3. Grassland – Subantarctic,403,0.2,
4.4. Grassland – Temperate,404,0.2,
4.5. Grassland – Subtropical/tropical dry,405,0.2,
4.6. Grassland – Subtropical/tropical seasonally wet/flooded,406,0.2,
4.7. Grassland – Subtropical/tropical high altitude,407,0.2,
5. Wetlands (inland),500,,
5.1. Wetlands (inland) – Permanent rivers/streams/creeks (includes waterfalls),501,0.3,
5.2. Wetlands (inland) – Seasonal/intermittent/irregular rivers/streams/creeks,502,0.3,
5.3. Wetlands (inland) – Shrub dominated wetlands,503,0.3,
"5.4. Wetlands (inland) – Bogs, marshes, swamps, fens, peatlands",504,0.3,
5.5. Wetlands (inland) – Permanent freshwater lakes (over 8 ha),505,0.3,
5.6. Wetlands (inland) – Seasonal/intermittent freshwater lakes (over 8 ha),506,0.3,
5.7. Wetlands (inland) – Permanent freshwater marshes/pools (under 8 ha),507,0.3,
5.8. Wetlands (inland) – Seasonal/intermittent freshwater marshes/pools (under 8 ha),508,0.3,
5.9. Wetlands (inland) – Freshwater springs and oases,509,0.3,
5.10. Wetlands (inland) – Tundra wetlands (inc. pools and temporary waters from snowmelt),510,0.3,
5.11. Wetlands (inland) – Alpine wetlands (inc. temporary waters from snowmelt),511,0.3,
5.12. Wetlands (inland) – Geothermal wetlands,512,0.3,
5.13. Wetlands (inland) – Permanent inland deltas,513,0.3,
"5.14. Wetlands (inland) – Permanent saline, brackish or alkaline lakes",514,0.3,
"5.15. Wetlands (inland) – Seasonal/intermittent saline, brackish or alkaline lakes and flats",515,0.3,
"5.16. Wetlands (inland) – Permanent saline, brackish or alkaline marshes/pools",516,0.3,
"5.17. Wetlands (inland) – Seasonal/intermittent saline, brackish or alkaline marshes/pools",517,0.3,
5.18. Wetlands (inland) – Karst and other subterranean hydrological systems (inland),518,0.3,
"6. Rocky Areas (e.g., inland cliffs, mountain peaks)",600,0.3,
7. Caves & Subterranean Habitats (non-aquatic),700,,
7.1. Caves and Subterranean Habitats (non-aquatic) – Caves,701,0.4,
7.2. Caves and Subterranean Habitats (non-aquatic) – Other subterranean habitats,702,0.4,
8. Desert,800,,
8.1. Desert – Hot,801,0.4,
8.2. Desert – Temperate,802,0.4,
8.3. Desert – Cold,803,0.4,
9. Marine Neritic,900,,
9.1. Marine Neritic – Pelagic,901,1,
9.2. Marine Neritic – Subtidal rock and rocky reefs,902,1,
9.3. Marine Neritic – Subtidal loose rock/pebble/gravel,903,1,
9.4. Marine Neritic – Subtidal sandy,904,1,
9.5. Marine Neritic – Subtidal sandy-mud,905,1,
9.6. Marine Neritic – Subtidal muddy,906,1,
9.7. Marine Neritic – Macroalgal/kelp,907,1,
9.8. Marine Neritic – Coral Reef,980,1,
9.8.1. Outer reef channel,981,1,
9.8.2. Back slope,982,1,
9.8.3. Foreslope (outer reef slope),983,1,
9.8.4. Lagoon,984,1,
9.8.5. Inter-reef soft substrate,985,1,
9.8.6. Inter-reef rubble substrate,986,1,
9.9 Seagrass (Submerged),909,1,
9.10 Estuaries,910,1,
10 Marine Oceanic,1000,1,
10.1 Epipelagic (0–200 m),1001,1,
"10.2 Mesopelagic (200–1,000 m)",1002,1,
"10.3 Bathypelagic (1,000–4,000 m)",1003,1,
"10.4 Abyssopelagic (4,000–6,000 m)",1004,1,
11 Marine Deep Ocean Floor (Benthic and Demersal),1100,1,
"11.1 Continental Slope/Bathyl Zone (200–4,000 m)",1101,1,
11.1.1 Hard Substrate,1111,1,
11.1.2 Soft Substrate,1112,1,
"11.2 Abyssal Plain (4,000–6,000 m)",1102,1,
"11.3 Abyssal Mountain/Hills (4,000–6,000 m)",1103,1,
"11.4 Hadal/Deep Sea Trench (>6,000 m)",1104,1,
11.5 Seamount,1105,1,
11.6 Deep Sea Vents (Rifts/Seeps),1106,1,
12 Marine Intertidal,1200,1,
12.1 Rocky Shoreline,1201,1,
"12.2 Sandy Shoreline and/or Beaches, Sand Bars, Spits, etc.",1202,1,
12.3 Shingle and/or Pebble Shoreline and/or Beaches,1203,1,
12.4 Mud Shoreline and Intertidal Mud Flats,1204,1,
12.5 Salt Marshes (Emergent Grasses),1205,1,
12.6 Tidepools,1206,1,
12.7 Mangrove Submerged Roots,1207,1,
13 Marine Coastal/Supratidal,1300,1,
13.1 Sea Cliffs and Rocky Offshore Islands,1301,1,
13.2 Coastal Caves/Karst,1302,1,
13.3 Coastal Sand Dunes,1303,1,
13.4 Coastal Brackish/Saline Lagoons/Marine Lakes,1304,1,
13.5 Coastal Freshwater Lakes,1305,1,
14 Artificial - Terrestrial,1400,1,
14.1 Arable Land,1401,0.6,
14.2 Pastureland,1402,0,Consider 0
14.3 Plantations,1403,0.2,
14.4 Rural Gardens,1404,0.2,
14.5 Urban Areas,1405,1,
14.6 Subtropical/Tropical Heavily Degraded Former Forest,1406,0,
15 Artificial - Aquatic,1500,1,
15.1 Water Storage Areas [over 8 ha],1501,1,
15.2 Ponds [below 8 ha],1502,1,
15.3 Aquaculture Ponds,1503,1,
15.4 Salt Exploitation Sites,1504,1,
15.5 Excavations (open),1505,1,
15.6 Wastewater Treatment Areas,1506,1,
15.7 Irrigated Land [includes irrigation channels],1507,0.6,
15.8 Seasonally Flooded Agricultural Land,1508,0.6,
"15.9 Canals and Drainage Channels, Ditches",1509,0.6,
15.10 Karst and Other Subterranean Hydrological Systems [human-made],1510,0.6,
15.11 Marine Anthropogenic Structures,1511,1,
15.12 Mariculture Cages,1512,1,
15.13 Mari/Brackish-culture Ponds,1513,1,
16 Introduced Vegetation,1600,0.2,
17 Other,1700,,
18 Unknown,1800,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
