Square,NumChecklists,NumBirdChecklists,NumBirds
3654;-11748,3.0,1.0,1.0
3306;-11660,9.0,4.0,9.0
4186;-12419,2.0,0.0,0
3515;-11943,2.0,0.0,0
3936;-12381,8.0,6.0,20.0
3960;-12056,1.0,1.0,4.0
3775;-11954,7.0,3.0,10.0
3412;-11603,56.0,0.0,0
4006;-12096,1.0,1.0,1.0
3420;-11897,14.0,0.0,0
3936;-12089,13.0,8.0,18.0
3823;-12212,1.0,0.0,0
3427;-11839,2.0,0.0,0
3814;-12218,2.0,0.0,0
4130;-12352,2.0,1.0,1.0
4029;-12381,11.0,4.0,6.0
3839;-12147,103.0,0.0,0
3683;-12129,6.0,0.0,0
3691;-12128,1.0,0.0,0
3443;-11985,5.0,0.0,0
3444;-11992,54.0,0.0,0
3392;-11665,2.0,0.0,0
3291;-11647,12.0,0.0,0
3282;-11836,1.0,0.0,0
3371;-11805,8.0,0.0,0
3771;-11952,1.0,0.0,0
3480;-11521,3.0,0.0,0
3853;-12143,1.0,0.0,0
3756;-12250,1.0,0.0,0
3793;-12191,17.0,3.0,6.0
3749;-12248,2.0,0.0,0
3633;-11935,1.0,0.0,0
3781;-12071,1.0,0.0,0
4034;-12056,1.0,0.0,0
3325;-11636,11.0,0.0,0
3798;-12275,1.0,1.0,1.0
3648;-11884,2.0,1.0,1.0
3421;-11814,4.0,0.0,0
3368;-11625,3.0,0.0,0
3423;-11719,2.0,1.0,1.0
3395;-11845,14.0,0.0,0
4067;-12385,1.0,0.0,0
3718;-12153,8.0,8.0,55.0
3790;-12229,1.0,0.0,0
4126;-12282,4.0,4.0,18.0
3296;-11657,2.0,0.0,0
3608;-12140,9.0,0.0,0
3905;-12106,8.0,0.0,0
3914;-12205,11.0,0.0,0
3939;-12062,2.0,0.0,0
3720;-12222,1.0,1.0,3.0
3964;-12134,1.0,0.0,0
3380;-11654,4.0,0.0,0
3852;-12178,14.0,0.0,0
3424;-11765,2.0,0.0,0
3820;-12233,64.0,0.0,0
3711;-11989,1.0,0.0,0
3742;-11856,2.0,0.0,0
3279;-11710,1.0,0.0,0
3869;-12016,1.0,0.0,0
3988;-12198,1.0,0.0,0
3848;-12001,5.0,2.0,6.0
3848;-12153,1.0,0.0,0
